year,month,circ_type
1956,2,"['HFA', 'HFA', 'HFA', 'HFA', 'HB', 'HB', 'HB', 'HB', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFA', 'HNFA', 'HNFA', 'U', 'BM', 'BM', 'BM', 'BM', 'WZ']"
1957,2,"['SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'TM', 'TM', 'TM', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'NEA', 'NEA']"
1958,2,"['HM', 'NWA', 'NWA', 'NWA', 'WS', 'WS', 'WS', 'WS', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'NZ', 'NZ', 'NZ', 'NZ', 'NWZ', 'NWZ', 'NWZ', 'WS', 'WS', 'WS', 'WS', 'BM', 'BM']"
1959,2,"['HB', 'HB', 'HB', 'HB', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM']"
1960,2,"['HFA', 'HFA', 'WW', 'WW', 'WW', 'U', 'HB', 'HB', 'HB', 'HNZ', 'HNZ', 'HNZ', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WS', 'WS', 'WS', 'WS', 'SWZ', 'SWZ', 'SWZ']"
1961,2,"['WZ', 'TRM', 'TRM', 'TRM', 'TRM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SWA', 'SWA', 'SWA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'SA', 'SA', 'SA', 'WZ', 'WZ']"
1962,2,"['BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA']"
1963,2,"['HNZ', 'HNZ', 'HNZ', 'HNZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'TM', 'TM', 'TM', 'TM', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'U', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM']"
1964,2,"['WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'HB', 'HB', 'HB', 'HB', 'WZ', 'WZ', 'WZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HM', 'HM', 'HM', 'HM', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ']"
1965,2,"['HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NZ', 'NZ', 'NZ', 'NEA', 'NEA', 'NEA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNZ', 'HNZ']"
1966,2,"['SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HNZ', 'HNZ', 'HNZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ']"
1967,2,"['WZ', 'WZ', 'WZ', 'WZ', 'NWA', 'NWA', 'NWA', 'HB', 'HB', 'HB', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ']"
1968,2,"['WZ', 'WZ', 'WZ', 'WZ', 'TB', 'TB', 'TB', 'TB', 'TB', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'NZ', 'NZ', 'NZ', 'NZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HB', 'HB', 'HB', 'HFA']"
1969,2,"['WZ', 'WZ', 'U', 'HB', 'HB', 'HB', 'NZ', 'NZ', 'NZ', 'NZ', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HFZ', 'HFZ', 'HFZ']"
1970,2,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'TRM', 'WZ', 'WZ', 'WZ', 'WW', 'WW', 'WW', 'WW', 'HNFZ', 'HNFZ', 'HNFZ', 'NWZ']"
1971,2,"['TRW', 'TRM', 'TRM', 'TRM', 'HB', 'HB', 'HB', 'HB', 'BM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'WS', 'WZ', 'WZ', 'WZ', 'NWA', 'NWA', 'NWA', 'NEA', 'NEA', 'NEA']"
1972,2,"['SEA', 'SEA', 'SEA', 'SZ', 'SZ', 'SZ', 'SZ', 'WW', 'WW', 'WW', 'WW', 'WW', 'WS', 'WS', 'WS', 'WS', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ']"
1973,2,"['WW', 'HM', 'HM', 'HM', 'HM', 'WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'TRW', 'TRW', 'TRW', 'TRW', 'BM', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'TRM', 'TRM', 'TRM', 'WA']"
